date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
1997-09-18,0.1719,0.17345,0.16405,0.1646,42575998,39.504,-3.35,59121597.3
1997-09-19,0.169,0.20415,0.16875,0.1974,178583992,47.376,19.93,67426796.95
1997-09-22,0.2,0.23385,0.1974,0.225,338831985,54.0,13.98,83655596.25
1997-09-23,0.2245,0.2323,0.2198,0.23124999999999998,153671993,55.5,2.8,90212395.95
1997-09-24,0.2323,0.24065,0.21459999999999999,0.21875,164015993,52.5,-5.4,95803195.7
1997-09-25,0.2172,0.21769999999999998,0.2026,0.2039,99359996,48.936,-6.81,99379195.55
1997-09-26,0.20365,0.213,0.2026,0.20834999999999998,54623998,50.004,2.16,100963195.5
1997-09-29,0.2073,0.2094,0.19790000000000002,0.20209999999999997,47423998,48.504,-2.98,102611995.45
1997-09-30,0.2,0.21745,0.19010000000000002,0.21694999999999998,105095995,52.068,7.32,107134795.25
1997-10-01,0.2219,0.225,0.1969,0.20105,99983996,48.252,-7.33,110169595.15
1997-10-02,0.20209999999999997,0.20885,0.1995,0.20049999999999998,37535998,48.12,-0.25,108698395.2
1997-10-03,0.20415,0.20625,0.19895,0.2008,23279999,48.192,0.15,107954395.25
1997-10-06,0.2,0.20625,0.19715000000000002,0.20625,40559998,49.5,2.74,104333995.4
1997-10-07,0.20415,0.2094,0.20209999999999997,0.20284999999999997,34847999,48.684,-1.65,97105195.75
1997-10-08,0.2073,0.20834999999999998,0.1992,0.20025,56135998,48.06,-1.28,96045595.8
1997-10-09,0.2,0.20105,0.187,0.1875,79007997,45.0,-6.39,95733595.85
1997-10-10,0.18644999999999998,0.20315,0.18334999999999999,0.19505,75743997,46.812,4.05,96187195.85
1997-10-13,0.19635,0.20209999999999997,0.19635,0.2,16295999,48.0,2.51,91418396.05
1997-10-14,0.20315,0.2052,0.19165000000000001,0.19895,30935999,47.748,-0.5,86533196.3
1997-10-15,0.19845,0.19845,0.18855,0.1961,47111998,47.064,-1.46,86281196.3
1997-10-16,0.19895,0.19895,0.1802,0.18125,69623997,43.5,-7.55,87633596.25
1997-10-17,0.18075000000000002,0.1828,0.17605,0.18125,50687998,43.5,0.0,81238796.55
1997-10-20,0.18385,0.19375,0.18334999999999999,0.19115,98255996,45.876,5.41,69209997.1
1997-10-21,0.19790000000000002,0.2219,0.19269999999999998,0.22135000000000002,241919990,53.124,15.86,73622396.95
1997-10-22,0.22085,0.23099999999999998,0.21875,0.22605,104159996,54.252,2.08,70629597.1
1997-10-23,0.21145,0.22815,0.2094,0.225,113135995,54.0,-0.44,71318397.05
1997-10-24,0.2375,0.25315,0.2271,0.25129999999999997,189839992,60.312,11.69,78079196.75
1997-10-27,0.2401,0.2505,0.21145,0.21355000000000002,121823995,51.252,-15.04,81799196.6
1997-10-28,0.19585,0.25,0.19375,0.24739999999999998,234383990,59.376,15.88,88263596.35
1997-10-29,0.25730000000000003,0.275,0.25,0.26954999999999996,142535994,64.692,8.93,90391196.25
1997-10-30,0.2604,0.2677,0.2521,0.25625,95399996,61.5,-4.9,93284396.15
1997-10-31,0.26825,0.2729,0.24845,0.25415,100535996,60.996,-0.82,97147196.0
1997-11-03,0.26095,0.26095,0.24739999999999998,0.25365,39983998,60.876,-0.24,97118396.0
1997-11-04,0.25,0.2526,0.24114999999999998,0.2479,47303998,59.496,-2.25,97741195.95
1997-11-05,0.24894999999999998,0.256,0.24375,0.24375,61871997,58.5,-1.65,98027995.9
1997-11-06,0.24584999999999999,0.24584999999999999,0.23174999999999998,0.23305,58271997,55.932,-4.39,96991195.9
1997-11-07,0.22085,0.23205,0.21924999999999997,0.22394999999999998,52535998,53.748,-3.9,95830795.95
1997-11-10,0.225,0.22815,0.2104,0.2104,55295998,50.496,-6.07,97780795.9
1997-11-11,0.21225,0.21565,0.19585,0.1974,86255996,47.376,-6.18,100546795.75
1997-11-12,0.1888,0.2094,0.18334999999999999,0.18855,173663993,45.252,-4.51,106874395.5
1997-11-13,0.1974,0.19845,0.18855,0.19295,85799996,46.308,2.39,107683195.45
